ship-city,Amount
BUNGAL,10749.25
AROOR,10748.33
VIRAJPETE,10742.76
MIRZAPUR CUM VINDHYACHAL,10719.24
MAINPURI,10719.0
KOKRAJHAR,10705.0
Panvel,10647.86
SRIPERUMBUDUR,10645.14
CHIDAMBARAM,10634.0
Shillong,10623.77
FATEHPUR FATEHPUR DISTRICT,10617.619999999999
DHARMAVARAM,10603.57
BANTVAL,10601.93
ANTAH,10552.0
DEWAS,10537.95
Leimakhong Town,10488.95
Pathanamthitta,10472.27
JHARSUGUDA,10464.0
MIRYALAGUDA,10456.0
Rohtak,10445.0
PALANI,10430.0
CHHATARPUR,10423.19
KHOPOLI,10411.2
PALAI,10409.0
GUDIVADA KRISHNA DISTRICT,10395.0
KUMTA,10387.95
CHENNAI 600028,10380.0
AMBUR,10372.0
BARAMATI,10358.71
Angamaly,10317.0
CHILAKALURIPET,10316.25
Tirupati,10251.67
KANKE,10240.97
PILANI TOWN,10237.0
AKBARPUR,10233.0
Jammu,10170.0
Salem,10161.0
DEOBAND,10156.0
TUNI,10135.32
KUMARAPALAYAM,10124.57
East Delhi,10115.95
PAURI,10107.0
JUNAGADH,10093.0
SIRSA,10089.1
BELA PRATAPGARH,10087.380000000001
KARJAT RAIGARH DISTRICT,10043.76
Vizianagaram,10030.0
ROBERTSGANJ,10014.0
MUNGER,10013.0
ALANTHURAI,9985.0
Burhanpur,9963.25
DAMAN,9952.54
DUMKA,9898.0
Rourkela,9849.0
BURLA,9849.0
BUXAR,9802.0
Silchar,9796.0
PILKHUWA,9759.14
NAVELIM,9716.0
PERINTHALMANNA,9711.09
jaipur,9706.0
DUNGARPUR,9692.869999999999
MAVOOR,9692.57
MAVELIKKARA,9669.0
MORENA,9663.0
AMALAPURAM,9641.0
MODINAGAR,9619.76
GOPALGANJ,9613.86
RAJSAMAND,9612.0
Gangtok,9601.0
NORTH DELHI,9597.86
BETUL,9597.86
RISHRA,9565.0
KAYAMKULAM,9564.86
NORTH WEST DELHI,9547.0
MAHABUBABAD,9533.29
"Avinashi, Tirupur",9507.0
KUSHINAGAR,9477.29
Virar west,9462.0
RUSHIKONDA APIIC,9457.0
SULYA,9450.0
Raipur,9427.1
EDATHALA,9426.0
Malappuram,9403.0
Manipal,9401.0
PROTHRAPUR,9393.0
FAROOQNAGAR,9381.72
Thalassery,9371.48
Jorhat,9363.0
PATAN,9353.0
HAPUR,9326.0
FATEHABAD,9316.0
GUDALUR THE NILGIRIS DISTRICT,9299.0
MOGA,9296.0
NAWADA,9295.0
ADONI,9280.0
JATANI,9247.0
TADEPALLIGUDEM,9239.0
THIRUVARUR,9226.0
BALANGIR,9220.380000000001
FIROZPUR,9197.0
Calicut,9172.43
VIKASNAGAR,9167.0
SAWAI MADHOPUR,9159.0
NORTH LAKHIMPUR,9155.71
KAPURTHALA,9120.0
PALACOLE,9115.57
PORBANDAR,9104.0
KADUNGALLOOR,9088.0
Karur,9070.9
Srinagar,9064.81
